text	text1	internet	modem	ip_phone	videvision	hello	cabel_tv	angry	lk	modile_1	monile_1	tarif	LK_2
У меня проблемы с интернетом, ничего не грузит, вы можете что-нибудь сделать?	0	1	1	0	0	0	0	0	0	0	0	0	0
ютуб не грузит, лампочка горит	0	1	1	1	0	0	0	0	0	0	0	0	0
привет, у вас есть айпи-телефония?	0	0	0	0	1	0	1	0	0	0	0	0	0
вы камеры ставите? я бы хотел поставить себе камеры и с телефона контролировать	0	0	0	0	0	1	0	0	0	0	0	0	0
алло, что с инетрнетом? постоянные сбои!	0	1	1	0	0	0	0	0	0	0	0	0	0
привет, есть кто?	0	0	0	0	0	0	1	0	0	0	0	0	0
привет	0	0	0	0	0	0	1	0	0	0	0	0	0
не рабоатет телефон	0	1	0	0	0	0	0	0	0	0	1	0	0
подключить телефон	0	0	0	0	0	0	0	0	0	0	1	0	0
поставить камеру дома	0	0	0	0	0	1	0	0	0	0	0	0	0
Здравтвуйте! сколько у вас стоит кабельное телевиднеие? в какую цену?	0	0	0	0	0	0	1	1	0	0	0	0	0
шпд у вас какое? есть 15мб в секунду или меньше?	0	1	1	0	0	0	0	0	0	0	0	0	0
Добрый вечер. Я представитель кампании ООО Техстрой Инвест. Мы хотим для своей кампании подключить ip-телефонию, чтобы сотрудники техподдержки по ней смогли принимать вызовы	0	0	0	0	1	0	1	0	0	0	0	0	0
тупит инернет	0	1	1	0	0	0	0	0	0	0	0	0	0
телефон не звонит	0	1	0	0	0	0	0	0	0	0	1	0	0
сайты не грузятся, я wifi раздал, пытался открыть сайт, но пишет что инета нет, что делать?	0	1	1	1	0	0	0	0	0	0	0	0	0
добрый вечер, на роутере лампочки не горят, хотя одна только красным горит и все, почему так?!	0	0	1	1	0	0	1	0	0	0	0	0	0
Привет. вы на связи? проблема возникла	0	1	0	0	0	0	1	0	0	0	0	0	0
вопрос, а мой трафик виден провайдеру? ну то что я посещаю, какие сайты и т.д?	0	0	1	0	0	0	0	0	0	0	0	1	0
сегодня в 9 вечера инет упал, у вас тех. работы какие-то?	0	1	1	0	0	0	0	0	0	0	0	0	0
Вечер добрый, какие тарифы у вас есть?	0	0	0	0	0	0	1	0	0	0	0	0	1
Здравствуйте, есть вопрос технического характера. В лс отметил, чтобы у меня интерент работал для отедльных айпишников (мой, жены). Но не работает эта настройки	0	0	1	0	0	0	1	0	0	0	0	0	0
Привет, я из-зза вас Игру престолов не могу смотреть, перезагрузите там инет у себя	0	1	1	0	0	0	1	0	0	0	0	0	0
Здравствуйте, почем тарифы для камер? Сколько камер можете поставить?	0	0	0	0	0	1	1	0	0	0	0	0	0
Привет, хочу поставить камеру в гараж, чтобы следить за машиной своей, сколько стоит?	0	0	0	0	0	1	1	0	0	0	0	0	0
почем инет у вас	0	0	1	0	0	0	0	0	0	0	0	0	1
доброго вренеи суток. хочу себе быстрый шбд, чтобы все очень быстро грузилось	0	0	0	0	0	0	1	0	0	0	0	0	0
youtube не грузит, у вас техработы какие-то?	0	1	1	0	0	0	0	0	0	0	0	0	0
сколько у вас максимальна скорость? потому что у меня вот тупит	0	1	1	0	0	0	0	0	0	0	0	0	0
привет, я недоволен качеством услуг, можно вернуть деньги?	0	0	0	0	0	0	1	0	0	0	0	0	0
приветствую. у меня проблемы с подклчение к сети. можете помочь?	0	0	0	0	0	0	1	0	0	0	0	0	0
